,词语,次数
1786,被叫,1
1787,叫出,1
1788,开屏,2
1789,雷击,2
1790,影,4
1791,六七,1
1792,七七,1
1793,为重,1
1794,内涵,1
1795,呐,2
1796,引,2
1797,雷,1
1798,劈,4
1799,倒霉,1
1800,倒霉蛋,1
1801,情侣,19
1802,WoC,1
1803,大英,1
1804,英俊,1
1805,帅哥,11
1806,驾到,1
1807,姻缘,1
1808,马上,3
1809,到来,1
1810,御,2
1811,文明,1
1812,莫名,5
1813,郑,1
1814,妮,3
1815,渲染,1
1816,恐怖片,2
1817,等等,7
1818,妹子,3
1819,害羞,7
1820,咦,1
1821,呜,1
1822,痴笑,1
1823,2333,6
1824,秋裤,2
1825,花,4
1826,笔,1
1827,有没有,6
1828,一种,2
1829,俩本,1
1830,本人,2
1831,9m,1
1832,",",3
1833,骤,2
1834,停,3
1835,爸爸,3
1836,妈妈,1
1837,纳妾,4
1838,相,1
1839,負,1
1840,責,1
1841,任,1
1842,型,1
1843,热水,2
1844,题,1
1845,见谅,4
1846,一次,4
1847,脱,1
1848,，，，,2
1849,二,3
1850,TMD,1
1851,漂亮,25
1852,gay,1
1853,点心,1
1854,点错,32
1855,洗澡,6
1856,卸妆,1
1857,国标,1
1858,雷声,1
1859,素材,1
1860,［,1
1861,保命,1
1862,］,1
1863,首,2
1864,抽抽,1
1865,按,10
1866,就要,1
1867,劈开,2
1868,探戈,3
1869,趟,2
1870,亚麻,1
1871,女孩,10
1872,女孩子,9
1873,扭,4
1874,美好,2
1875,好多,4
1876,比古,1
1877,az,1
1878,身材,6
1879,一般,3
1880,？？,5
1881,鸡汤,2
1882,witch,1
1883,透,1
1884,tnnd,2
1885,要来,1
1886,此,4
1887,这行,1
1888,行业,1
1889,卷成,1
1890,一定,6
1891,重点,2
1892,朕,3
1893,召唤兽,1
1894,系统,2
1895,开启,3
1896,来点,2
1897,点过,1
1898,年代,1
1899,(゜ロ゜),1
1900,缺,3
1901,女朋友,4
1902,哥德,1
1903,哥德巴赫,1
1904,哥德巴赫猜想,1
1905,德巴,1
1906,德巴赫,1
1907,巴赫,1
1908,猜想,1
1909,想有,2
1910,最优,1
1911,直,6
1912,发言,1
1913,穿,5
1914,高能,2
1915,弯,3
1916,不应,3
1917,该是,4
1918,五行,1
1919,八卦,1
1920,八卦阵,1
1921,羊,1
1922,满满,5
1923,爆粗,1
1924,粗口,1
1925,尴尬,3
1926,况且,1
1927,身体,1
1928,主人,1
1929,掉落,3
1930,视角,2
1931,白酒,1
1932,涨,1
1933,doinb,2
1934,整得,1
1935,其实,4
1936,同心,1
1937,同心结,1
1938,心结,1
1939,磨豆腐,9
1940,TM,2
1941,可乐,2
1942,叙利亚,2
1943,利亚,2
1944,Doinb,1
1945,谢,3
1946,不如,4
1947,跟着,1
1948,比国,1
1949,转场,2
1950,代入,1
1951,干嘛,7
1952,tm,2
1953,挨,1
1954,老子,3
1955,穿山甲,2
1956,山甲,2
1957,到底,5
1958,候复,1
1959,复课,1
1960,666666,1
1961,王道,1
1962,？《,1
1963,》？,1
1964,不到,7
1965,助,2
1966,修行,4
1967,野球,1
1968,帝王,1
1969,王师傅,3
1970,师傅,4
1971,出演,1
1972,脸红,2
1973,泡泡,1
1974,泡茶,1
1975,茶壶,3
1976,何方,2
1977,道友,2
1978,大爷,1
1979,一件,5
1980,美事,3
1981,emmm,1
1982,只要,1
1983,胆子,1
1984,足够,1
1985,女鬼,2
1986,产假,1
1987,摄影,2
1988,摄影师,2
1989,蛆,1
1990,蛇皮,2
1991,瞎子,1
1992,裹,1
1993,一般般,1
1994,般般,1
1995,尼玛,3
1996,中西,1
1997,中西合璧,1
1998,合璧,1
1999,图案,1
2000,中国,7
2001,外国,1
2002,外国法,1
2003,国法,1
2004,首页,3
2005,通知,2
2006,通知书,2
2007,百合花,3
2008,高级,1
2009,徒弟,1
2010,开心,6
2011,侧面,2
2012,看起,3
2013,看起来,3
2014,除了,3
2015,那段,1
2016,好剑法,1
2017,剑法,1
2018,日本,1
2019,裁判,1
2020,跨,1
2021,桑,2
2022,？！！？,1
2023,凡人,1
2024,里脊,1
2025,里脊肉,1
2026,内裤,1
2027,倒水,1
2028,路上,1
2029,早点,1
2030,配,9
2031,不至于,1
2032,至于,1
2033,一大,1
2034,一大跳,1
2035,妈呀,3
2036,jh,1
2037,一紧,1
2038,答,2
2039,君子,4
2040,做法,4
2041,法拉,4
2042,法拉第,4
2043,笼,4
2044,古代,3
2045,古代人,1
2046,代人,1
2047,听得懂,2
2048,洗,2
2049,能用,2
2050,趣,1
2051,附近,1
2052,厕所,2
2053,新东,1
2054,新东方,1
2055,东方,1
2056,医院,1
2057,过天,1
2058,嫩,1
2059,扔,1
2060,水里,1
2061,洗洗,1
2062,看见,3
2063,ies,1
2064,幻,3
2065,想不到,1
2066,出现,2
2067,管,2
2068,小脑,1
2069,脑袋,1
2070,回头,2
2071,咚,1
2072,棒,3
2073,wu,1
2074,收回,2
2075,被子,3
2076,外面,1
2077,艺,1
2078,自带,1
2079,带回,2
2080,回音,1
2081,专门,1
2082,准备,1
2083,国风,1
2084,搞,1
2085,ta,1
2086,心虚,1
2087,倒,5
2088,些,1
2089,网,3
2090,骨,1
2091,孕,1
2092,灵光,1
2093,神气,1
2094,内藏,1
2095,妳,2
2096,(,9
2097,刚烧,1
2098,烧开,1
2099,千万,1
2100,这他,1
2101,国家,1
2102,反,1
2103,诈,1
2104,中心,1
2105,APP,1
2106,动心,2
2107,化妆,2
2108,差,3
2109,流量,2
2110,剧毒,1
2111,无端,1
2112,联想,1
2113,两姐妹,1
2114,双休,1
2115,虎狼,2
2116,词,2
2117,giao,2
2118,扣,1
2119,鸡腿,1
2120,妖女,1
2121,休要,1
2122,毁,1
2123,道心,2
2124,花开,2
2125,女生,5
2126,看不得,1
2127,不得,7
2128,得得,1
2129,古装,2
2130,装好,1
2131,太多,2
2132,先救,1
2133,保,2
2134,鹿,1
2135,踏,2
2136,二倍,1
2137,倍速,1
2138,活儿,1
2139,找,2
2140,嗨,1
2141,骗,4
2142,接点,1
2143,举报,1
2144,扑克,1
2145,续,1
2146,作,1
2147,158,1
2148,憨,2
2149,冠,3
2150,把兄弟,1
2151,兄弟,2
2152,当,3
2153,外人,1
2154,勒,2
2155,大法,1
2156,大法师,1
2157,法师,1
2158,有钱人,1
2159,明明,6
2160,停过,1
2161,页,1
2162,游法,1
2163,不漏,1
2164,漏出,1
2165,漏出来,1
2166,阅读,2
2167,理解,2
2168,嫌弃,4
2169,粗鲁,1
2170,嘎,2
2171,枝,1
2172,窝,1
2173,拿,6
2174,矿泉,1
2175,矿泉水,1
2176,泉水,1
2177,换,4
2178,10w,1
2179,扎,1
2180,头发,3
2181,啧啧,5
2182,笑声,1
2183,虚空,2
2184,吊,2
2185,不合,1
2186,合适,1
2187,不想,4
2188,叨叨,1
2189,不休,1
2190,地上,1
2191,傻子,1
2192,们,3
2193,说明,1
2194,佬,1
2195,披着,1
2196,躲,7
2197,朗,1
2198,喝药,1
2199,家,1
2200,郎,1
2201,吃药,1
2202,中东,1
2203,原油,1
2204,原油价格,1
2205,油价,1
2206,油价格,1
2207,价格,1
2208,会上,1
2209,上涨,1
2210,不怕,2
2211,蚊子,2
2212,咬,11
2213,同为,1
2214,慌张,1
2215,迷惑,1
2216,太极,1
2217,看穿,1
2218,中国男足,1
2219,男足,1
2220,何时,1
2221,何时能,1
2222,打进,1
2223,世界杯,1
2224,三维,1
2225,10,3
2226,大关,1
2227,随便,1
2228,整容,1
2229,成功,7
2230,武汉,1
2231,estarprologo,1
2232,盲人,1
2233,服,5
2234,套,3
2235,BUG,1
2236,空出,1
2237,这次,4
2238,张艺谋,1
2239,拍摄,1
2240,名字,1
2241,hhhhhhhh,1
2242,Hhhhhhhh,1
2243,什,2
2244,眼熟,1
2245,肯定,5
2246,定都,1
2247,开幕,2
2248,，，,1
2249,九成,1
2250,八,1
2251,攻击,1
2252,教练,1
2253,想学,1
2254,激动,2
2255,hh,1
2256,劫难,1
2257,揉,2
2258,吞,1
2259,翻牌,1
2260,牌子,1
2261,貌似,1
2262,几个,3
2263,纸,3
2264,扭到,1
2265,一旁,2
2266,多年,1
2267,禁不住,1
2268,魅力,1
2269,暖,1
2270,稳重,1
2271,成熟,1
2272,起点,1
2273,小鹿,2
2274,乱撞,2
2275,天上,1
2276,天上掉,1
2277,福气,1
2278,怎么样,1
2279,藿香,2
2280,正气,2
2281,软胶,1
2282,软胶囊,1
2283,胶囊,3
2284,机器,1
2285,机器猫,1
2286,口袋,2
2287,芸,8
2288,出场费,1
2289,光明,1
2290,光明正大,1
2291,正大,1
2292,牵手,5
2293,A,7
2294,公主,4
2295,大概,2
2296,爱情,12
2297,说得好,3
2298,吹笛,1
2299,舍得,1
2300,系,2
2301,暗恋,2
2302,越,4
2303,实像,2
2304,对抗,1
2305,欲望,1
2306,馒头,1
2307,之人,3
2308,辟谷,2
2309,截,1
2310,刘海,1
2311,给水,1
2312,容易,3
2313,温暖,1
2314,活泼,2
2315,感动,3
2316,性格,2
2317,互补,1
2318,灵气,1
2319,失业,1
2320,抱抱,2
2321,杯,1
2322,白菜,1
2323,馅儿,1
2324,只能,2
2325,有心,5
2326,最近,1
2327,勤,1
2328,扑通,4
2329,逻辑,2
2330,为何,2
2331,不安,4
2332,定情,4
2333,情信,4
2334,信物,4
2335,红红,1
2336,红红火火,1
2337,红火,1
2338,恍恍惚惚,1
2339,恍惚,1
2340,惚,1
2341,笛,4
2342,通灵术,1
2343,回报,1
2344,呱,1
2345,———,1
2346,自来,1
2347,内行,1
2348,不让,3
2349,停不下,1
2350,停不下来,1
2351,不下,1
2352,wgiao,1
2353,~！！,1
2354,看不见,1
2355,嘤,2
2356,人心,3
2357,心情,1
2358,情变,1
2359,变好,2
2360,me,1
2361,小口,1
2362,胡,2
2363,玄,1
2364,玉,1
2365,拖进,1
2366,爱看,1
2367,追,2
2368,巧克力,1
2369,胡萝卜,1
2370,胡萝卜素,1
2371,萝卜,1
2372,撩,2
2373,赞成,1
2374,反对,2
2375,连续,1
2376,看有,1
2377,有意,3
2378,有意思,2
2379,满满的,2
2380,安全,1
2381,安全感,1
2382,x2,1
2383,inb,1
2384,越来,1
2385,越来越,1
2386,惨淡,2
2387,拉手,2
2388,666,2
2389,钟意,1
2390,家乡,1
2391,小曲,1
2392,愿,2
2393,比如,3
2394,比如说,1
2395,通,2
2396,广,1
2397,咯噔,1
2398,有效,1
2399,版,2
2400,a,3
2401,火影,1
2402,火影忍者,1
2403,忍者,1
2404,乱,1
2405,入,2
2406,嗑,4
2407,真不,11
2408,真不错,7
2409,来晚,1
2410,侧,2
2411,先天,1
2412,天一,4
2413,炁,1
2414,说得对,1
2415,江湖,2
2416,风云,1
2417,风云录,1
2418,蠻,1
2419,自然,2
2420,忧郁,1
2421,蓝调,1
2422,咋样,2
2423,苦,1
2424,几,1
2425,忧,1
2426,究,1
2427,资,1
2428,不管,2
2429,吼吼,10
2430,新手,1
2431,经验,5
2432,翻脸,1
2433,翻书,1
2434,甜甜,1
2435,甜甜的,1
2436,氛围,1
2437,天生,1
2438,生就,1
2439,度,1
2440,读心术,1
2441,心术,1
2442,{[,1
2443,8,1
2444,l,2
2445,",}",1
2446,321,1
2447,寸步,1
2448,寸步不离,1
2449,不离,1
2450,里来,1
2451,土拨鼠,2
2452,当然,3
2453,留,1
2454,防止,1
2455,破坏,2
2456,守护,1
2457,和平,1
2458,捂,4
2459,少点,1
2460,不分,1
2461,不光,1
2462,jy,1
2463,蒋,3
2464,熟,1
2465,接吻,2
2466,演戏,2
2467,坠入,11
2468,爱河,11
2469,qjm,1
2470,一声,1
2471,嚼,1
2472,瘦,2
2473,眉毛,1
2474,思,2
2475,窝头,1
2476,M,1
2477,豆,2
2478,熟悉,2
2479,室上性,1
2480,心动过速,2
2481,过速,2
2482,烤串,1
2483,傲,1
2484,吹,3
2485,一脸,3
2486,哆,1
2487,存,1
2488,天理,1
2489,灭,1
2490,欲,3
2491,龙葵,1
2492,变出,5
2493,杯水,1
2494,就行了,2
2495,贴心,1
2496,方便,2
2497,不掉,4
2498,那些,6
2499,攻,2
2500,摸摸,6
2501,趁机,2
2502,占便宜,1
2503,便宜,1
2504,太水,2
2505,独享,4
2506,快撑,1
2507,撑不住,1
2508,药量,1
2509,加倍,1
2510,刚为,1
2511,想要,3
2512,這,1
2513,樣,1
2514,變,1
2515,结合,3
2516,水壶,1
2517,撤退,1
2518,灵动,1
2519,沉稳,1
2520,内敛,1
2521,互相,1
2522,相吸,1
2523,吸引,2
2524,how,2
2525,pay,2
2526,pdd,1
2527,卖,1
2528,43,1
2529,小气,1
2530,小气鬼,1
2531,摸手,3
2532,早晚,1
2533,立刻,1
2534,m,1
2535,步伐,1
2536,定好,1
2537,健身,1
2538,撸,1
2539,铁,1
2540,减肥,1
2541,磨,1
2542,皮,1
2543,太严,1
2544,滤镜,1
2545,阴间,1
2546,用力,1
2547,猛,2
2548,嘴硬,1
2549,心软,1
2550,间接,1
2551,接接,1
2552,笛子,2
2553,爽,2
2554,堀,1
2555,希,1
2556,妻,2
2557,吹牛,1
2558,怎么办,3
2559,幸福,1
2560,幸福感,1
2561,生气,1
2562,竟然,2
2563,敢嫌,1
2564,借给,2
2565,强力,1
2566,蜂乳,1
2567,乳浆,1
2568,胶丸,1
2569,行走,1
2570,走江湖,1
2571,最后,2
2572,拐,2
2573,结果,2
2574,上集,1
2575,奶水,1
2576,劳模,1
2577,符合,1
2578,半,14
2579,造型,7
2580,极了,1
2581,缺德,1
2582,笑容,1
2583,治愈,1
2584,hhhh,3
2585,一直,2
2586,开开,1
2587,开开心,1
2588,开开心心,1
2589,心心,1
2590,助攻,17
2591,一路,1
2592,一路顺风,1
2593,顺风,1
2594,表示,2
2595,远点,1
2596,此时,2
2597,此时此刻,1
2598,此刻,1
2599,神助,2
2600,忒,4
2601,十数,1
2602,十数年,1
2603,数年,1
2604,从未,1
2605,如此,1
2606,要求,7
2607,所谓,3
2608,封印,1
2609,反噬,1
2610,自身,1
2611,气死,1
2612,乌兰,1
2613,乌兰图,1
2614,雅,1
2615,情侣装,11
2616,确信,2
2617,恼,1
2618,本体,12
2619,老姜,2
2620,豁,4
2621,滑,4
2622,选错,2
2623,teai,1
2624,每个,1
2625,投币,1
2626,第二季,7
2627,二季,7
2628,kswl,5
2629,第一次,2
2630,听见,1
2631,无理,3
2632,飘过,2
2633,死于,2
2634,推进,1
2635,瑟瑟,1
2636,发抖,1
2637,看向,1
2638,伤心,2
2639,犬夜叉,1
2640,夜叉,1
2641,性,2
2642,手上,2
2643,上有,2
2644,指环,3
2645,宠,3
2646,额头,2
2647,细节,2
2648,惊艳,2
2649,这俩,2
2650,关系,2
2651,仔细,2
2652,仔细听,1
2653,要说,1
2654,打下,1
2655,伏笔,2
2656,半神,4
2657,黄鼠,1
2658,黄鼠狼,1
2659,奥,1
2660,皮肤,2
2661,以是,1
2662,本草,1
2663,纲目,1
2664,正在,2
2665,筹备,1
2666,真会,1
2667,加多,2
2668,大雾,1
2669,形态,1
2670,桔梗,3
2671,甜,11
2672,同色系,1
2673,色系,1
2674,侶,1
2675,裝,1
2676,清源,6
2677,清源山,6
2678,后续,2
2679,飒,3
2680,使劲,1
2681,No,1
2682,大结局,2
2683,结局,5
2684,选择,1
2685,遍,1
2686,速度,1
2687,续保,1
2688,保持,1
2689,干杯,1
2690,空虚,1
2691,看样,1
2692,看样子,1
2693,万左右,1
2694,身后,1
2695,阔,2
2696,漏,1
2697,装,1
2698,咔,2
2699,嗷嗷,16
2700,眉眼,1
2701,奥特,1
2702,奥特曼,1
2703,特曼,1
2704,！~,1
2705,满眼,1
2706,巨好,1
2707,泉州,1
2708,泉州人,1
2709,狂喜,2
2710,身,3
2711,芍药,1
2712,芍药花,1
2713,称呼,1
2714,改,1
2715,第一季,2
2716,一季,2
2717,攻略,1
2718,BOSS,1
2719,更好,6
2720,魔兽,1
2721,他俩,1
2722,它,4
2723,莫邪,1
2724,竹笛,1
2725,一会,1
2726,进步,1
2727,煜,1
2728,允,1
2729,完结,8
2730,撒花,9
2731,颯,1
2732,绝美,3
2733,套路,1
2734,结婚,2
2735,吶,1
2736,Wdt,1
2737,几分,1
2738,几分钟,1
2739,八重,1
2740,欠,5
2741,满足,1
2742,瞅,1
2743,滴,5
2744,工具,1
2745,博,1
2746,失去,1
2747,卧,4
2748,！！！？？？？？,1
2749,反转,1
2750,！！？？？,1
2751,隐藏,1
2752,藏身,1
2753,身份,1
2754,痴,1
2755,汉,1
2756,hao,2
2757,受伤,1
2758,心痛,1
2759,侗,1
2760,体现,1
2761,现身,1
2762,国人,2
2763,尊重,2
2764,对手,1
2765,原地,1
2766,不行,3
2767,看出,1
2768,婚,2
2769,快活,1
2770,跟,4
2771,善恶,1
2772,社,1
2773,化妆师,1
2774,梳,1
2775,油,1
2776,紫藤,1
2777,紫藤花,1
2778,花树,1
2779,一罐,2
2780,冲过,1
2781,冲过去,1
2782,过去,1
2783,一把,1
2784,抱住,1
2785,然后,2
2786,蹭,2
2787,急,3
2788,热,3
2789,发油,1
2790,小分,3
2791,小分队,3
2792,分队,3
2793,集合,1
2794,在座,1
2795,禁欲,1
2796,美艳,1
2797,！！！！！！！！！！,1
2798,！！！！！！！,3
2799,傻,2
2800,大白,1
2801,大白天,1
2802,白天,1
2803,惊,1
2804,现,1
2805,小三,2
2806,树下,1
2807,勾引,2
2808,并,2
2809,试图,1
2810,妻子,1
2811,旁,1
2812,阻止,1
2813,三打,1
2814,lue,1
2815,本,1
2816,山中,1
2817,来自,3
2818,欠揍,1
2819,»,1
2820,正义,1
2821,？。。,1
2822,选,5
2823,方人,1
2824,蝶,1
2825,！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！,1
2826,识,1
2827,俺们,1
2828,狐狸,3
2829,猫咪,1
2830,情人节,1
2831,凌晨,1
2832,一口气,2
2833,口气,2
2834,好爽,1
2835,密码,2
2836,正确,3
2837,贱,4
2838,兮兮,1
2839,徒,1
2840,x,2
2841,粉,2
2842,厚,2
2843,清,1
2844,建,1
2845,挠,1
2846,挠头,1
2847,见好就收,1
2848,雨,2
2849,无,18
2850,瓜,2
2851,！（,2
2852,珍珠,1
2853,红色,2
2854,定本,1
2855,Van,1
2856,几天,1
2857,指环王,1
2858,山脚,1
2859,山脚下,1
2860,脚下,1
2861,不晓,1
2862,晓得,1
2863,搞了半天,1
2864,半天,1
2865,开大,1
2866,月,3
2867,绣,1
2868,晴,2
2869,不用谢,1
2870,激出,1
2871,哒,3
2872,可别,1
2873,笑笑,1
2874,嚯,1
2875,妖孽,2
2876,正常,2
2877,抢婚,1
2878,米,1
2879,位,1
2880,眼花,3
2881,好气,1
2882,你好坏,1
2883,好坏,1
2884,狐狸精,2
2885,现下,1
2886,下面,1
2887,是非,1
2888,唉,3
2889,这辈子,2
2890,辈子,2
2891,不识,1
2892,识趣,1
2893,喜,2
2894,嘶,1
2895,记号,1
2896,向上,1
2897,向下,1
2898,云体,1
2899,体质,2
2900,特殊,1
2901,一群,1
2902,群妖,1
2903,闲聊,1
2904,不知天高地厚,1
2905,天高地,1
2906,天高地厚,1
2907,高地,1
2908,实心,1
2909,足矣,1
2910,外貌,1
2911,再好,1
2912,终究,1
2913,两身,1
2914,太少,1
2915,增,1
2916,增人,1
2917,人气,2
2918,终于,3
2919,羞,2
2920,含情,1
2921,含情脉脉,1
2922,脉脉,1
2923,糖尿,1
2924,糖尿病,1
2925,一秒,2
2926,讨,1
2927,第二次,1
2928,二次,1
2929,听到,1
2930,我们,7
2931,狗,6
2932,甚至,1
2933,当成,1
2934,成婚,1
2935,传说,1
2936,没死,1
2937,古代篇,1
2938,交出,1
2939,交出来,1
2940,吉娃娃,6
2941,娃娃,7
2942,伟,1
2943,带我去,1
2944,学,1
2945,暴富,1
2946,术,1
2947,tian,1
2948,物,2
2949,神物,1
2950,降世,1
2951,吃惊,1
2952,毛毛,1
2953,毛毛虫,1
2954,毛虫,1
2955,小姑,2
2956,小姑娘,2
2957,姑娘家,1
2958,娘家,1
2959,家家,1
2960,两幅,1
2961,幅面,1
2962,面孔,1
2963,可恶,2
2964,放出,1
2965,喇叭,6
2966,指甲,2
2967,巧,1
2968,硝基,1
2969,硝基苯,1
2970,氰化,5
2971,氰化物,5
2972,＝,1
2973,杏仁,6
2974,制,1
2975,霸,1
2976,那里,1
2977,小妹,2
2978,小妹妹,1
2979,信息,1
2980,嗅,2
2981,枕头,17
2982,？！！！,1
2983,微,1
2984,属性,1
2985,上扬,2
2986,不敢,4
2987,指,4
2988,柯,1
2989,南,2
2990,闻,3
2991,得出,1
2992,不单,1
2993,睡,2
2994,子会,1
2995,心肌,5
2996,心肌梗塞,5
2997,梗塞,5
2998,肺部,1
2999,积液,1
3000,回答,2
3001,躲避,1
3002,避开,1
3003,确定,1
3004,葫芦,1
3005,唱,1
3006,觊觎,1
3007,房颤,1
3008,室颤,1
3009,咱,3
3010,杏仁露,2
3011,住嘴,1
3012,扬,1
3013,杨,2
3014,骨子,1
3015,骨子里,1
3016,这种,5
3017,不失,1
3018,月饼,1
3019,诡计,1
3020,诡计多端,1
3021,多端,1
3022,偷笑,5
3023,心咒,3
3024,没用,1
3025,拍成,1
3026,或,1
3027,可惜,1
3028,题目,1
3029,危险,2
3030,橘子,1
3031,子花,1
3032,其,1
3033,飘,1
3034,甚远,1
3035,芸芸,1
3036,冷,5
3037,一觉,1
3038,觉醒,1
3039,醒来,1
3040,条,4
3041,刺,1
3042,猹,1
3043,四合,1
3044,四合院,1
3045,咽,3
3046,时长,2
3047,进展,1
3048,迅速,1
3049,ame,1
3050,起色,1
3051,色心,1
3052,洋,1
3053,愛,1
3054,噢,1
3055,色泽,1
3056,好闻,1
3057,早上,1
3058,上起,1
3059,洗脸,1
3060,刷牙,1
3061,科学,2
3062,笑场,2
3063,陷进,1
3064,螺蛳,1
3065,星际,1
3066,荒,1
3067,真早,2
3068,房子,3
3069,那它,1
3070,抖,3
3071,音,3
3072,火烧,1
3073,烧得,1
3074,旺,1
3075,慢,1
3076,九分,1
3077,蚊虫,1
3078,赶脚,1
3079,心梗,1
3080,有戏,1
3081,哎哟,2
3082,十分钟,2
3083,hhhhhhhhhhhhhhhhh,1
3084,张,3
3085,床,7
3086,14,1
3087,!!!,1
3088,尼,1
3089,陀,1
3090,佛,2
3091,清心寡欲,1
3092,寡欲,1
3093,南无阿弥,1
3094,阿弥陀,1
3095,阿弥陀佛,1
3096,弥陀,1
3097,赵云,1
3098,旁边,1
3099,念,1
3100,一晚,2
3101,咒语,1
3102,苦杏仁,1
3103,化学,1
3104,老师,1
3105,教,1
3106,耳朵,4
3107,选项,1
3108,土地,5
3109,干脆,1
3110,演说,1
3111,姛,5
3112,恨,4
3113,块,3
3114,沒,1
3115,及,1
3116,發,1
3117,彈,1
3118,幕,1
3119,先剪,1
3120,剪指甲,1
3121,終,1
3122,於,1
3123,單,1
3124,原因,2
3125,立,1
3126,馬,1
3127,枕,4
3128,頭,1
3129,尤里,1
3130,土地公,1
3131,公公,1
3132,某人,1
3133,表面,1
3134,看似,1
3135,镇定,1
3136,髒,1
3137,腿,8
3138,心乱,1
3139,进,2
3140,结合体,1
3141,合体,1
3142,无望,1
3143,右心房,1
3144,心房,2
3145,收纳,1
3146,全身,2
3147,静脉,3
3148,静脉血,2
3149,通过,3
3150,右心室,1
3151,心室,2
3152,肺动脉,2
3153,动脉,4
3154,泵,2
3155,中流,1
3156,肺,1
3157,气体,1
3158,交换,1
3159,变成,1
3160,含氧,1
3161,丰富,1
3162,动脉血,1
3163,肺静脉,1
3164,送至,1
3165,左心,2
3166,左心室,1
3167,主动脉,1
3168,向,1
3169,此地,1
3170,不宜,1
3171,久留,1
3172,溜之大吉,1
3173,大吉,1
3174,个别,1
3175,大木,1
3176,大木头,1
3177,膝,3
3178,肢体,1
3179,接触,1
3180,笨蛋,1
3181,撒尿,1
3182,錯,2
3183,拉回,1
3184,拉回去,1
3185,回去,3
3186,酮,3
3187,洞房,1
3188,缪,2
3189,喷花,2
3190,花露,3
3191,花露水,3
3192,露水,3
3193,不止,2
3194,白狐,1
3195,脸儿,1
3196,躺,7
3197,怀里,2
3198,演出,1
3199,猴,1
3200,KY,1
3201,宿,1
3202,落枕,1
3203,干柴,1
3204,干柴烈火,1
3205,烈火,1
3206,通讯,1
3207,通讯录,1
3208,行事,2
3209,盘腿,1
3210,润,1
3211,信,1
3212,臭豆腐,1
3213,人才,1
3214,不必,1
3215,？(,1
3216,喇叭花,1
3217,花都,1
3218,蔫,1
3219,你们好,2
3220,枕着,1
3221,孙,1
3222,老板,1
3223,随身,1
3224,身背,1
3225,背包,1
3226,害得,1
3227,嘴巴,1
3228,不能不,1
3229,不能不要,1
3230,湖,1
3231,臭,1
3232,实是,2
3233,md,2
3234,眯,1
3235,全程,2
3236,姨父,1
3237,嘘,1
3238,之间,1
3239,特写,2
3240,南宫,2
3241,仆,2
3242,射,2
3243,实在,1
3244,心跳,3
3245,能变,4
3246,願,1
3247,意,1
3248,歡,1
3249,转移,1
3250,话题,1
3251,双人,1
3252,双人床,1
3253,不爽,1
3254,不爽快,1
3255,爽快,2
3256,外表,1
3257,内心,1
3258,攻陷,1
3259,就是说,1
3260,红点,1
3261,剪,1
3262,从头,1
3263,从头到尾,1
3264,挺快,1
3265,心律,1
3266,心律不齐,1
3267,不齐,1
3268,趴在,1
3269,放肆,1
3270,干坏事,1
3271,坏事,1
3272,吓唬,1
3273,刁钻,1
3274,想变,1
3275,不变,1
3276,时间,2
3277,第一晚,1
3278,舅,1
3279,爸,1
3280,触,2
3281,不早,1
3282,体香,1
3283,严肃,1
3284,语气,1
3285,惊讶,1
3286,前边,1
3287,拉开,1
3288,聊,1
3289,截图,1
3290,寤寐,1
3291,求之不得,4
3292,对视,1
3293,直白,3
3294,不得了,1
3295,妄想,1
3296,拐跑,1
3297,骂,1
3298,鲸骨,1
3299,老道,3
3300,欣慰,1
3301,媳妇儿,2
3302,妇儿,2
3303,百,2
3304,因,1
3305,必,1
3306,果,1
3307,劫数,2
3308,城里,1
3309,城里人,1
3310,里人,1
3311,室友,3
3312,仨,1
3313,心善,1
3314,面,1
3315,姐们,2
3316,紫,17
3317,锭,16
3318,能行,17
3319,下次,2
3320,？！！,2
3321,贈,1
3322,时,1
3323,响,1
3324,HAH,1
3325,沉默,1
3326,ohhhhhhhh,1
3327,酒瓶,1
3328,酒瓶盖,1
3329,瓶盖,1
3330,盖儿,1
3331,怀疑,1
3332,河里,9
3333,心理,1
3334,心理咨询,1
3335,咨询,1
3336,？（,2
3337,闺,1
3338,蜜,1
3339,道姑,1
3340,祭品,1
3341,？）,2
3342,丫,1
3343,舍,1
3344,手动,2
3345,ohh,14
3346,结巴,5
3347,中生,1
3348,那不就,1
3349,情结,1
3350,一时,1
3351,一时间,1
3352,ohhh,2
3353,疗,6
3354,岳,1
3355,绮罗,1
3356,穿点,1
3357,家长,6
3358,苹果,29
3359,灵川,3
3360,镇,2
3361,桂林,1
3362,桂林市,1
3363,灵川县,1
3364,很甜,2
3365,魔幻,1
3366,手机,1
3367,连了,1
3368,女婿,3
3369,回家,5
3370,炮,5
3371,最强,2
3372,OHH,1
3373,ohhhh,1
3374,最好,1
3375,复活,1
3376,51,1
3377,16,1
3378,学会,1
3379,九龙,1
3380,拉马,1
3381,定能,1
3382,变相,1
3383,表白,2
3384,贡品,1
3385,供奉,3
3386,石,1
3387,拿到,1
3388,谈话,2
3389,治疗,3
3390,1988,2
3391,白方,1
3392,方法,2
3393,学到,2
3394,姨母,1
3395,小孩,1
3396,小孩子,1
3397,我俩,1
3398,普通,2
3399,通同,2
3400,同事,2
3401,”“,1
3402,今,1
3403,晩,1
